company,type,status,roles_found,detail
Accenture (Global Solutions / Limited),html,OK,0,144 links scanned
Adobe Systems Software Ireland Limited,html,OK,0,124 links scanned
AIB (Allied Irish Banks p.l.c.),html,FAIL,0,"HTTPSConnectionPool(host='careers.aib.ie', port=443): Max re"
Afiniti AI Limited,html,OK,0,43 links scanned
Agilent Technologies Ireland Limited,html,FAIL,0,HTTP 404
Amazon Development Centre Ireland Limited,html,OK,0,42 links scanned
Amazon Web Services EMEA SARL,html,OK,0,42 links scanned
Amdocs Software Systems Limited,html,EMPTY,0,few/no server-side links (JS-rendered?)
Analog Devices International Unlimited Company,html,EMPTY,0,few/no server-side links (JS-rendered?)
Analytic Partners Ltd,html,OK,0,133 links scanned
Anduril Industries Ireland Limited,lever,FAIL,0,HTTP 404
Anthropic Ireland Limited,greenhouse,OK,17,406 total jobs
Aon Solutions Ireland Limited,html,FAIL,0,HTTP 404
Apple Distribution International Limited,html,OK,0,79 links scanned
Applied Materials Ireland Limited,html,FAIL,0,"HTTPSConnectionPool(host='careers.appliedmaterials.com', por"
Aptiv Global Operations Limited,html,FAIL,0,"HTTPSConnectionPool(host='careers.aptiv.com', port=443): Max"
Arista Networks Limited,html,FAIL,0,HTTP 406
Arm Ireland Limited,html,OK,0,177 links scanned
AstraZeneca Pharmaceuticals (Ireland) DAC,html,OK,0,82 links scanned
AtkinsRealis Limited,html,FAIL,0,HTTP 404
Aviva Group Services Ireland Limited,html,FAIL,0,"HTTPSConnectionPool(host='careers.aviva.ie', port=443): Max "
AXA Group Services Ltd,html,FAIL,0,HTTP 500
Bank of America Europe DAC,html,OK,0,58 links scanned
Bank of Ireland Group PLC,html,FAIL,0,HTTP 404
BearingPoint Ireland Limited,html,FAIL,0,HTTP 404
Becton Dickinson Research Centre Ireland Limited,html,OK,0,88 links scanned
Bentley Systems International Limited,html,FAIL,0,"HTTPSConnectionPool(host='careers.bentley.com', port=443): M"
Bloomberg Data Management Services Limited,html,FAIL,0,HTTP 403
"BNP Paribas, Dublin Branch",html,FAIL,0,HTTP 403
BNY Mellon Fund Services (Ireland) DAC,html,FAIL,0,HTTP 404
Boston Scientific Ireland Limited,html,OK,0,151 links scanned
BrowserStack Limited,greenhouse,FAIL,0,HTTP 404
Cadence Design Systems (Ireland) Limited,html,EMPTY,0,few/no server-side links (JS-rendered?)
Calypso AI Limited,greenhouse,FAIL,0,HTTP 404
Canada Life Group Services Ltd,html,FAIL,0,"HTTPSConnectionPool(host='www.canadalife.ie', port=443): Max"
Capgemini Ireland Limited,html,FAIL,0,HTTP 404
Carne Global Financial Services Ltd,html,OK,0,30 links scanned
CBRE GWS Ireland Limited,html,FAIL,0,HTTP 202
Charles River Laboratories Ireland Ltd,html,FAIL,0,HTTP 404
Chargebee Ireland Limited,lever,FAIL,0,HTTP 404
Cisco Systems Internetworking (Ireland) Limited,html,FAIL,0,"HTTPSConnectionPool(host='careers.cisco.com', port=443): Max"
Citibank Europe PLC,html,OK,0,75 links scanned
